_id,class,description
o-dang_davidson_124,offensive,davidson_category_desc_112
o-dang_davidson_126,offensive,davidson_category_desc_113
o-dang_davidson_127,offensive,davidson_category_desc_114
o-dang_davidson_128,offensive,davidson_category_desc_115
o-dang_davidson_129,offensive,davidson_category_desc_116
o-dang_davidson_130,offensive,davidson_category_desc_117
o-dang_davidson_131,offensive,davidson_category_desc_118
o-dang_davidson_132,offensive,davidson_category_desc_119
o-dang_davidson_133,offensive,davidson_category_desc_120
o-dang_davidson_134,offensive,davidson_category_desc_121
o-dang_davidson_135,offensive,davidson_category_desc_122
o-dang_davidson_136,offensive,davidson_category_desc_123
o-dang_davidson_137,offensive,davidson_category_desc_124
o-dang_davidson_138,offensive,davidson_category_desc_125
o-dang_davidson_139,offensive,davidson_category_desc_126
o-dang_davidson_140,offensive,davidson_category_desc_127
o-dang_davidson_142,offensive,davidson_category_desc_128
o-dang_davidson_143,offensive,davidson_category_desc_129
o-dang_davidson_144,offensive,davidson_category_desc_130
o-dang_davidson_145,offensive,davidson_category_desc_131
o-dang_davidson_146,offensive,davidson_category_desc_132
o-dang_davidson_147,offensive,davidson_category_desc_133
o-dang_davidson_148,offensive,davidson_category_desc_134
o-dang_davidson_149,offensive,davidson_category_desc_135
o-dang_davidson_151,offensive,davidson_category_desc_136
o-dang_davidson_152,offensive,davidson_category_desc_137
o-dang_davidson_153,offensive,davidson_category_desc_138
o-dang_davidson_154,offensive,davidson_category_desc_139
o-dang_davidson_155,offensive,davidson_category_desc_140
o-dang_davidson_156,offensive,davidson_category_desc_141
o-dang_davidson_157,offensive,davidson_category_desc_142
o-dang_davidson_158,offensive,davidson_category_desc_143
o-dang_davidson_160,offensive,davidson_category_desc_144
o-dang_davidson_161,offensive,davidson_category_desc_145
o-dang_davidson_162,offensive,davidson_category_desc_146
o-dang_davidson_163,offensive,davidson_category_desc_147
o-dang_davidson_164,offensive,davidson_category_desc_148
o-dang_davidson_166,offensive,davidson_category_desc_149
o-dang_davidson_167,offensive,davidson_category_desc_150
o-dang_davidson_168,offensive,davidson_category_desc_151
o-dang_davidson_169,offensive,davidson_category_desc_152
o-dang_davidson_170,offensive,davidson_category_desc_153
o-dang_davidson_171,offensive,davidson_category_desc_154
o-dang_davidson_172,offensive,davidson_category_desc_155
o-dang_davidson_173,offensive,davidson_category_desc_156
o-dang_davidson_174,offensive,davidson_category_desc_157
o-dang_davidson_175,offensive,davidson_category_desc_158
o-dang_davidson_176,offensive,davidson_category_desc_159
o-dang_davidson_177,offensive,davidson_category_desc_160
o-dang_davidson_178,offensive,davidson_category_desc_161
o-dang_davidson_179,offensive,davidson_category_desc_162
o-dang_davidson_180,offensive,davidson_category_desc_163
o-dang_davidson_183,offensive,davidson_category_desc_164
o-dang_davidson_184,offensive,davidson_category_desc_165
o-dang_davidson_185,hate speech,davidson_category_desc_166
o-dang_davidson_186,offensive,davidson_category_desc_167
o-dang_davidson_190,offensive,davidson_category_desc_168
o-dang_davidson_192,offensive,davidson_category_desc_169
o-dang_davidson_193,offensive,davidson_category_desc_170
o-dang_davidson_194,offensive,davidson_category_desc_171
o-dang_davidson_195,offensive,davidson_category_desc_172
o-dang_davidson_196,offensive,davidson_category_desc_173
o-dang_davidson_198,offensive,davidson_category_desc_174
o-dang_davidson_199,offensive,davidson_category_desc_175
o-dang_davidson_200,offensive,davidson_category_desc_176
o-dang_davidson_201,offensive,davidson_category_desc_177
o-dang_davidson_202,offensive,davidson_category_desc_178
o-dang_davidson_203,hate speech,davidson_category_desc_179
o-dang_davidson_204,offensive,davidson_category_desc_180
o-dang_davidson_205,hate speech,davidson_category_desc_181
o-dang_davidson_207,offensive,davidson_category_desc_182
o-dang_davidson_208,offensive,davidson_category_desc_183
o-dang_davidson_209,offensive,davidson_category_desc_184
o-dang_davidson_210,offensive,davidson_category_desc_185
o-dang_davidson_211,offensive,davidson_category_desc_186
o-dang_davidson_212,offensive,davidson_category_desc_187
o-dang_davidson_213,offensive,davidson_category_desc_188
o-dang_davidson_214,offensive,davidson_category_desc_189
o-dang_davidson_215,offensive,davidson_category_desc_190
o-dang_davidson_216,offensive,davidson_category_desc_191
o-dang_davidson_218,offensive,davidson_category_desc_192
o-dang_davidson_219,offensive,davidson_category_desc_193
o-dang_davidson_220,hate speech,davidson_category_desc_194
o-dang_davidson_223,offensive,davidson_category_desc_195
o-dang_davidson_224,offensive,davidson_category_desc_196
o-dang_davidson_225,offensive,davidson_category_desc_197
o-dang_davidson_226,offensive,davidson_category_desc_198
o-dang_davidson_227,offensive,davidson_category_desc_199
o-dang_davidson_228,offensive,davidson_category_desc_200
o-dang_davidson_229,offensive,davidson_category_desc_201
o-dang_davidson_230,offensive,davidson_category_desc_202
o-dang_davidson_231,offensive,davidson_category_desc_203
o-dang_davidson_232,offensive,davidson_category_desc_204
o-dang_davidson_233,offensive,davidson_category_desc_205
o-dang_davidson_234,offensive,davidson_category_desc_206
o-dang_davidson_235,offensive,davidson_category_desc_207
o-dang_davidson_236,offensive,davidson_category_desc_208
o-dang_davidson_237,offensive,davidson_category_desc_209
o-dang_davidson_238,offensive,davidson_category_desc_210
o-dang_davidson_239,offensive,davidson_category_desc_211
o-dang_davidson_240,offensive,davidson_category_desc_212
o-dang_davidson_243,offensive,davidson_category_desc_213
o-dang_davidson_245,offensive,davidson_category_desc_214
o-dang_davidson_246,offensive,davidson_category_desc_215
o-dang_davidson_247,offensive,davidson_category_desc_216
o-dang_davidson_250,offensive,davidson_category_desc_217
o-dang_davidson_251,offensive,davidson_category_desc_218
o-dang_davidson_252,offensive,davidson_category_desc_219
o-dang_davidson_253,offensive,davidson_category_desc_220
o-dang_davidson_254,offensive,davidson_category_desc_221
o-dang_davidson_255,offensive,davidson_category_desc_222
o-dang_davidson_256,offensive,davidson_category_desc_223
o-dang_davidson_257,offensive,davidson_category_desc_224
o-dang_davidson_258,offensive,davidson_category_desc_225
o-dang_davidson_259,offensive,davidson_category_desc_226
o-dang_davidson_261,hate speech,davidson_category_desc_227
o-dang_davidson_262,offensive,davidson_category_desc_228
o-dang_davidson_263,offensive,davidson_category_desc_229
o-dang_davidson_264,offensive,davidson_category_desc_230
o-dang_davidson_265,offensive,davidson_category_desc_231
o-dang_davidson_266,offensive,davidson_category_desc_232
o-dang_davidson_267,offensive,davidson_category_desc_233
o-dang_davidson_268,offensive,davidson_category_desc_234
o-dang_davidson_269,offensive,davidson_category_desc_235
o-dang_davidson_271,offensive,davidson_category_desc_236
o-dang_davidson_272,offensive,davidson_category_desc_237
o-dang_davidson_273,offensive,davidson_category_desc_238
o-dang_davidson_274,offensive,davidson_category_desc_239
o-dang_davidson_276,offensive,davidson_category_desc_240
o-dang_davidson_277,offensive,davidson_category_desc_241
o-dang_davidson_278,offensive,davidson_category_desc_242
o-dang_davidson_279,offensive,davidson_category_desc_243
o-dang_davidson_280,offensive,davidson_category_desc_244
o-dang_davidson_281,offensive,davidson_category_desc_245
o-dang_davidson_282,offensive,davidson_category_desc_246
o-dang_davidson_283,offensive,davidson_category_desc_247
o-dang_davidson_285,offensive,davidson_category_desc_248
o-dang_davidson_286,offensive,davidson_category_desc_249
o-dang_davidson_287,offensive,davidson_category_desc_250
o-dang_davidson_288,offensive,davidson_category_desc_251
o-dang_davidson_289,offensive,davidson_category_desc_252
o-dang_davidson_290,offensive,davidson_category_desc_253
o-dang_davidson_291,offensive,davidson_category_desc_254
o-dang_davidson_292,offensive,davidson_category_desc_255
o-dang_davidson_293,offensive,davidson_category_desc_256
o-dang_davidson_294,offensive,davidson_category_desc_257
o-dang_davidson_295,offensive,davidson_category_desc_258
o-dang_davidson_296,offensive,davidson_category_desc_259
o-dang_davidson_297,offensive,davidson_category_desc_260
o-dang_davidson_298,offensive,davidson_category_desc_261
o-dang_davidson_299,offensive,davidson_category_desc_262
o-dang_davidson_300,offensive,davidson_category_desc_263
o-dang_davidson_301,offensive,davidson_category_desc_264
o-dang_davidson_302,offensive,davidson_category_desc_265
o-dang_davidson_303,offensive,davidson_category_desc_266
o-dang_davidson_304,offensive,davidson_category_desc_267
o-dang_davidson_305,offensive,davidson_category_desc_268
o-dang_davidson_306,offensive,davidson_category_desc_269
o-dang_davidson_307,offensive,davidson_category_desc_270
o-dang_davidson_308,offensive,davidson_category_desc_271
o-dang_davidson_309,offensive,davidson_category_desc_272
o-dang_davidson_310,offensive,davidson_category_desc_273
o-dang_davidson_311,offensive,davidson_category_desc_274
o-dang_davidson_312,offensive,davidson_category_desc_275
o-dang_davidson_313,hate speech,davidson_category_desc_276
o-dang_davidson_315,offensive,davidson_category_desc_277
o-dang_davidson_316,hate speech,davidson_category_desc_278
o-dang_davidson_317,offensive,davidson_category_desc_279
o-dang_davidson_318,offensive,davidson_category_desc_280
o-dang_davidson_319,offensive,davidson_category_desc_281
o-dang_davidson_320,offensive,davidson_category_desc_282
o-dang_davidson_321,offensive,davidson_category_desc_283
o-dang_davidson_323,offensive,davidson_category_desc_284
o-dang_davidson_325,offensive,davidson_category_desc_285
o-dang_davidson_326,offensive,davidson_category_desc_286
o-dang_davidson_327,offensive,davidson_category_desc_287
o-dang_davidson_328,offensive,davidson_category_desc_288
o-dang_davidson_329,offensive,davidson_category_desc_289
o-dang_davidson_331,offensive,davidson_category_desc_290
o-dang_davidson_333,offensive,davidson_category_desc_291
o-dang_davidson_334,offensive,davidson_category_desc_292
o-dang_davidson_335,offensive,davidson_category_desc_293
o-dang_davidson_336,offensive,davidson_category_desc_294
o-dang_davidson_338,offensive,davidson_category_desc_295
o-dang_davidson_339,offensive,davidson_category_desc_296
o-dang_davidson_340,offensive,davidson_category_desc_297
o-dang_davidson_341,offensive,davidson_category_desc_298
o-dang_davidson_343,offensive,davidson_category_desc_299
o-dang_davidson_345,offensive,davidson_category_desc_300
o-dang_davidson_346,offensive,davidson_category_desc_301
o-dang_davidson_347,offensive,davidson_category_desc_302
o-dang_davidson_348,offensive,davidson_category_desc_303
o-dang_davidson_349,offensive,davidson_category_desc_304
o-dang_davidson_350,hate speech,davidson_category_desc_305
o-dang_davidson_351,offensive,davidson_category_desc_306
o-dang_davidson_353,hate speech,davidson_category_desc_307
o-dang_davidson_354,offensive,davidson_category_desc_308
o-dang_davidson_355,offensive,davidson_category_desc_309
o-dang_davidson_356,offensive,davidson_category_desc_310
o-dang_davidson_358,offensive,davidson_category_desc_311
o-dang_davidson_359,offensive,davidson_category_desc_312
o-dang_davidson_360,offensive,davidson_category_desc_313
o-dang_davidson_361,offensive,davidson_category_desc_314
o-dang_davidson_362,offensive,davidson_category_desc_315
o-dang_davidson_363,offensive,davidson_category_desc_316
o-dang_davidson_364,offensive,davidson_category_desc_317
o-dang_davidson_366,offensive,davidson_category_desc_318
o-dang_davidson_367,offensive,davidson_category_desc_319
o-dang_davidson_368,offensive,davidson_category_desc_320
o-dang_davidson_369,offensive,davidson_category_desc_321
o-dang_davidson_370,offensive,davidson_category_desc_322
o-dang_davidson_372,offensive,davidson_category_desc_323
o-dang_davidson_374,offensive,davidson_category_desc_324
o-dang_davidson_375,offensive,davidson_category_desc_325
o-dang_davidson_376,offensive,davidson_category_desc_326
o-dang_davidson_377,offensive,davidson_category_desc_327
o-dang_davidson_378,offensive,davidson_category_desc_328
o-dang_davidson_379,offensive,davidson_category_desc_329
o-dang_davidson_382,offensive,davidson_category_desc_330
o-dang_davidson_383,offensive,davidson_category_desc_331
o-dang_davidson_384,offensive,davidson_category_desc_332
o-dang_davidson_386,offensive,davidson_category_desc_333
o-dang_davidson_387,offensive,davidson_category_desc_334
o-dang_davidson_388,offensive,davidson_category_desc_335
o-dang_davidson_389,offensive,davidson_category_desc_336
o-dang_davidson_390,offensive,davidson_category_desc_337
o-dang_davidson_391,offensive,davidson_category_desc_338
o-dang_davidson_393,offensive,davidson_category_desc_339
o-dang_davidson_394,offensive,davidson_category_desc_340
o-dang_davidson_395,offensive,davidson_category_desc_341
o-dang_davidson_397,offensive,davidson_category_desc_342
o-dang_davidson_399,offensive,davidson_category_desc_343
o-dang_davidson_400,offensive,davidson_category_desc_344
o-dang_davidson_401,offensive,davidson_category_desc_345
o-dang_davidson_402,offensive,davidson_category_desc_346
o-dang_davidson_403,offensive,davidson_category_desc_347
o-dang_davidson_404,offensive,davidson_category_desc_348
o-dang_davidson_405,offensive,davidson_category_desc_349
o-dang_davidson_406,offensive,davidson_category_desc_350
o-dang_davidson_407,offensive,davidson_category_desc_351
o-dang_davidson_408,offensive,davidson_category_desc_352
o-dang_davidson_409,offensive,davidson_category_desc_353
o-dang_davidson_410,offensive,davidson_category_desc_354
o-dang_davidson_411,offensive,davidson_category_desc_355
o-dang_davidson_412,offensive,davidson_category_desc_356
o-dang_davidson_413,offensive,davidson_category_desc_357
o-dang_davidson_414,offensive,davidson_category_desc_358
o-dang_davidson_416,offensive,davidson_category_desc_359
o-dang_davidson_417,offensive,davidson_category_desc_360
o-dang_davidson_418,offensive,davidson_category_desc_361
o-dang_davidson_419,offensive,davidson_category_desc_362
o-dang_davidson_420,offensive,davidson_category_desc_363
o-dang_davidson_421,offensive,davidson_category_desc_364
o-dang_davidson_422,offensive,davidson_category_desc_365
o-dang_davidson_423,offensive,davidson_category_desc_366
o-dang_davidson_424,offensive,davidson_category_desc_367
o-dang_davidson_426,offensive,davidson_category_desc_368
o-dang_davidson_427,offensive,davidson_category_desc_369
o-dang_davidson_428,offensive,davidson_category_desc_370
o-dang_davidson_430,offensive,davidson_category_desc_371
o-dang_davidson_431,offensive,davidson_category_desc_372
o-dang_davidson_432,offensive,davidson_category_desc_373
o-dang_davidson_434,offensive,davidson_category_desc_374
o-dang_davidson_435,offensive,davidson_category_desc_375
o-dang_davidson_436,offensive,davidson_category_desc_376
o-dang_davidson_437,offensive,davidson_category_desc_377
o-dang_davidson_438,hate speech,davidson_category_desc_378
o-dang_davidson_439,offensive,davidson_category_desc_379
o-dang_davidson_440,offensive,davidson_category_desc_380
o-dang_davidson_441,offensive,davidson_category_desc_381
o-dang_davidson_442,offensive,davidson_category_desc_382
o-dang_davidson_443,offensive,davidson_category_desc_383
o-dang_davidson_444,offensive,davidson_category_desc_384
o-dang_davidson_445,offensive,davidson_category_desc_385
o-dang_davidson_446,offensive,davidson_category_desc_386
o-dang_davidson_447,offensive,davidson_category_desc_387
o-dang_davidson_448,offensive,davidson_category_desc_388
o-dang_davidson_449,offensive,davidson_category_desc_389
o-dang_davidson_451,offensive,davidson_category_desc_390
o-dang_davidson_452,offensive,davidson_category_desc_391
o-dang_davidson_453,offensive,davidson_category_desc_392
o-dang_davidson_454,offensive,davidson_category_desc_393
o-dang_davidson_455,offensive,davidson_category_desc_394
o-dang_davidson_456,offensive,davidson_category_desc_395
o-dang_davidson_457,offensive,davidson_category_desc_396
o-dang_davidson_458,offensive,davidson_category_desc_397
o-dang_davidson_459,offensive,davidson_category_desc_398
o-dang_davidson_460,hate speech,davidson_category_desc_399
o-dang_davidson_461,offensive,davidson_category_desc_400
o-dang_davidson_463,offensive,davidson_category_desc_401
o-dang_davidson_464,offensive,davidson_category_desc_402
o-dang_davidson_465,offensive,davidson_category_desc_403
o-dang_davidson_466,offensive,davidson_category_desc_404
o-dang_davidson_468,offensive,davidson_category_desc_405
o-dang_davidson_469,offensive,davidson_category_desc_406
o-dang_davidson_470,offensive,davidson_category_desc_407
o-dang_davidson_471,offensive,davidson_category_desc_408
o-dang_davidson_472,offensive,davidson_category_desc_409
o-dang_davidson_473,offensive,davidson_category_desc_410
o-dang_davidson_475,offensive,davidson_category_desc_411
o-dang_davidson_476,offensive,davidson_category_desc_412
o-dang_davidson_477,offensive,davidson_category_desc_413
o-dang_davidson_478,offensive,davidson_category_desc_414
o-dang_davidson_479,offensive,davidson_category_desc_415
o-dang_davidson_480,offensive,davidson_category_desc_416
o-dang_davidson_481,offensive,davidson_category_desc_417
o-dang_davidson_482,offensive,davidson_category_desc_418
o-dang_davidson_483,offensive,davidson_category_desc_419
o-dang_davidson_484,offensive,davidson_category_desc_420
o-dang_davidson_485,offensive,davidson_category_desc_421
o-dang_davidson_486,offensive,davidson_category_desc_422
o-dang_davidson_487,offensive,davidson_category_desc_423
o-dang_davidson_488,offensive,davidson_category_desc_424
o-dang_davidson_489,offensive,davidson_category_desc_425
o-dang_davidson_490,offensive,davidson_category_desc_426
o-dang_davidson_491,offensive,davidson_category_desc_427
o-dang_davidson_492,offensive,davidson_category_desc_428
o-dang_davidson_493,offensive,davidson_category_desc_429
o-dang_davidson_494,offensive,davidson_category_desc_430
o-dang_davidson_496,offensive,davidson_category_desc_431
o-dang_davidson_497,offensive,davidson_category_desc_432
o-dang_davidson_498,offensive,davidson_category_desc_433
o-dang_davidson_499,offensive,davidson_category_desc_434
o-dang_davidson_500,offensive,davidson_category_desc_435
o-dang_davidson_501,offensive,davidson_category_desc_436
o-dang_davidson_502,offensive,davidson_category_desc_437
o-dang_davidson_503,offensive,davidson_category_desc_438
o-dang_davidson_504,offensive,davidson_category_desc_439
o-dang_davidson_505,offensive,davidson_category_desc_440
o-dang_davidson_506,offensive,davidson_category_desc_441
o-dang_davidson_507,offensive,davidson_category_desc_442
o-dang_davidson_508,offensive,davidson_category_desc_443
o-dang_davidson_509,offensive,davidson_category_desc_444
o-dang_davidson_511,offensive,davidson_category_desc_445
o-dang_davidson_512,offensive,davidson_category_desc_446
o-dang_davidson_513,offensive,davidson_category_desc_447
o-dang_davidson_514,offensive,davidson_category_desc_448
o-dang_davidson_515,offensive,davidson_category_desc_449
o-dang_davidson_517,offensive,davidson_category_desc_450
o-dang_davidson_519,offensive,davidson_category_desc_451
o-dang_davidson_520,hate speech,davidson_category_desc_452
o-dang_davidson_521,offensive,davidson_category_desc_453
o-dang_davidson_522,offensive,davidson_category_desc_454
o-dang_davidson_523,offensive,davidson_category_desc_455
o-dang_davidson_525,offensive,davidson_category_desc_456
o-dang_davidson_527,hate speech,davidson_category_desc_457
o-dang_davidson_528,offensive,davidson_category_desc_458
o-dang_davidson_529,offensive,davidson_category_desc_459
o-dang_davidson_530,offensive,davidson_category_desc_460
o-dang_davidson_531,offensive,davidson_category_desc_461
o-dang_davidson_532,hate speech,davidson_category_desc_462
o-dang_davidson_533,offensive,davidson_category_desc_463
o-dang_davidson_534,offensive,davidson_category_desc_464
o-dang_davidson_535,offensive,davidson_category_desc_465
o-dang_davidson_536,offensive,davidson_category_desc_466
o-dang_davidson_537,offensive,davidson_category_desc_467
o-dang_davidson_539,offensive,davidson_category_desc_468
o-dang_davidson_541,hate speech,davidson_category_desc_469
o-dang_davidson_542,offensive,davidson_category_desc_470
o-dang_davidson_543,offensive,davidson_category_desc_471
o-dang_davidson_544,offensive,davidson_category_desc_472
o-dang_davidson_545,offensive,davidson_category_desc_473
o-dang_davidson_546,offensive,davidson_category_desc_474
o-dang_davidson_547,offensive,davidson_category_desc_475
o-dang_davidson_548,offensive,davidson_category_desc_476
o-dang_davidson_549,offensive,davidson_category_desc_477
o-dang_davidson_550,offensive,davidson_category_desc_478
o-dang_davidson_551,offensive,davidson_category_desc_479
o-dang_davidson_552,offensive,davidson_category_desc_480
o-dang_davidson_553,offensive,davidson_category_desc_481
o-dang_davidson_554,offensive,davidson_category_desc_482
o-dang_davidson_555,offensive,davidson_category_desc_483
o-dang_davidson_556,offensive,davidson_category_desc_484
o-dang_davidson_557,offensive,davidson_category_desc_485
o-dang_davidson_558,offensive,davidson_category_desc_486
o-dang_davidson_559,offensive,davidson_category_desc_487
o-dang_davidson_560,offensive,davidson_category_desc_488
o-dang_davidson_561,offensive,davidson_category_desc_489
o-dang_davidson_564,offensive,davidson_category_desc_490
o-dang_davidson_565,offensive,davidson_category_desc_491
o-dang_davidson_566,hate speech,davidson_category_desc_492
o-dang_davidson_567,offensive,davidson_category_desc_493
o-dang_davidson_568,offensive,davidson_category_desc_494
o-dang_davidson_570,offensive,davidson_category_desc_495
o-dang_davidson_571,offensive,davidson_category_desc_496
o-dang_davidson_573,offensive,davidson_category_desc_497
o-dang_davidson_574,offensive,davidson_category_desc_498
o-dang_davidson_575,offensive,davidson_category_desc_499
o-dang_davidson_577,offensive,davidson_category_desc_500
o-dang_davidson_578,offensive,davidson_category_desc_501
o-dang_davidson_579,offensive,davidson_category_desc_502
o-dang_davidson_580,offensive,davidson_category_desc_503
o-dang_davidson_581,offensive,davidson_category_desc_504
o-dang_davidson_582,offensive,davidson_category_desc_505
o-dang_davidson_583,hate speech,davidson_category_desc_506
o-dang_davidson_584,hate speech,davidson_category_desc_507
o-dang_davidson_585,offensive,davidson_category_desc_508
o-dang_davidson_586,offensive,davidson_category_desc_509
o-dang_davidson_587,offensive,davidson_category_desc_510
o-dang_davidson_588,hate speech,davidson_category_desc_511
o-dang_davidson_589,hate speech,davidson_category_desc_512
o-dang_davidson_590,offensive,davidson_category_desc_513
o-dang_davidson_591,offensive,davidson_category_desc_514
o-dang_davidson_592,offensive,davidson_category_desc_515
o-dang_davidson_593,offensive,davidson_category_desc_516
o-dang_davidson_594,offensive,davidson_category_desc_517
o-dang_davidson_595,offensive,davidson_category_desc_518
o-dang_davidson_596,offensive,davidson_category_desc_519
o-dang_davidson_597,offensive,davidson_category_desc_520
o-dang_davidson_600,offensive,davidson_category_desc_521
o-dang_davidson_601,offensive,davidson_category_desc_522
o-dang_davidson_602,offensive,davidson_category_desc_523
o-dang_davidson_603,offensive,davidson_category_desc_524
o-dang_davidson_604,hate speech,davidson_category_desc_525
o-dang_davidson_605,offensive,davidson_category_desc_526
o-dang_davidson_606,offensive,davidson_category_desc_527
o-dang_davidson_607,offensive,davidson_category_desc_528
o-dang_davidson_608,offensive,davidson_category_desc_529
o-dang_davidson_609,offensive,davidson_category_desc_530
o-dang_davidson_610,offensive,davidson_category_desc_531
o-dang_davidson_611,offensive,davidson_category_desc_532
o-dang_davidson_613,offensive,davidson_category_desc_533
o-dang_davidson_615,hate speech,davidson_category_desc_534
o-dang_davidson_616,offensive,davidson_category_desc_535
o-dang_davidson_617,offensive,davidson_category_desc_536
