id,labels
sexism2022_english-18133,2.2 aggressive and emotive attacks
sexism2022_english-12564,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3322,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8402,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10342,2.1 descriptive attacks
sexism2022_english-17761,2.2 aggressive and emotive attacks
sexism2022_english-10191,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6994,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-178,2.1 descriptive attacks
sexism2022_english-15070,2.1 descriptive attacks
sexism2022_english-18984,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9176,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5030,4.2 supporting systemic discrimination against women as a group
sexism2022_english-7869,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14479,2.2 aggressive and emotive attacks
sexism2022_english-19759,2.2 aggressive and emotive attacks
sexism2022_english-1322,2.2 aggressive and emotive attacks
sexism2022_english-6997,2.2 aggressive and emotive attacks
sexism2022_english-3815,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1502,4.2 supporting systemic discrimination against women as a group
sexism2022_english-14588,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15257,1.2 incitement and encouragement of harm
sexism2022_english-19153,2.1 descriptive attacks
sexism2022_english-8905,2.1 descriptive attacks
sexism2022_english-17094,2.1 descriptive attacks
sexism2022_english-3283,2.1 descriptive attacks
sexism2022_english-4052,2.2 aggressive and emotive attacks
sexism2022_english-2677,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16522,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7569,2.1 descriptive attacks
sexism2022_english-1559,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5275,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13650,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9952,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3738,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7106,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15118,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16070,2.2 aggressive and emotive attacks
sexism2022_english-3886,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-18433,2.2 aggressive and emotive attacks
sexism2022_english-5506,2.2 aggressive and emotive attacks
sexism2022_english-3576,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10477,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5367,2.1 descriptive attacks
sexism2022_english-960,3.4 condescending explanations or unwelcome advice
sexism2022_english-9016,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8465,4.2 supporting systemic discrimination against women as a group
sexism2022_english-17534,2.2 aggressive and emotive attacks
sexism2022_english-19617,3.2 immutable gender differences and gender stereotypes
sexism2022_english-17623,1.2 incitement and encouragement of harm
sexism2022_english-5795,2.2 aggressive and emotive attacks
sexism2022_english-17321,2.1 descriptive attacks
sexism2022_english-549,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7552,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-362,3.3 backhanded gendered compliments
sexism2022_english-727,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9844,1.2 incitement and encouragement of harm
sexism2022_english-18632,2.2 aggressive and emotive attacks
sexism2022_english-5798,2.2 aggressive and emotive attacks
sexism2022_english-8445,1.2 incitement and encouragement of harm
sexism2022_english-4589,3.3 backhanded gendered compliments
sexism2022_english-1653,2.1 descriptive attacks
sexism2022_english-10896,2.2 aggressive and emotive attacks
sexism2022_english-6998,2.1 descriptive attacks
sexism2022_english-4581,3.4 condescending explanations or unwelcome advice
sexism2022_english-12940,4.2 supporting systemic discrimination against women as a group
sexism2022_english-16089,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-2581,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16298,2.2 aggressive and emotive attacks
sexism2022_english-3124,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2900,4.2 supporting systemic discrimination against women as a group
sexism2022_english-4853,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19008,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7832,2.1 descriptive attacks
sexism2022_english-16034,4.1 supporting mistreatment of individual women
sexism2022_english-2194,2.2 aggressive and emotive attacks
sexism2022_english-6186,2.1 descriptive attacks
sexism2022_english-16814,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15479,2.1 descriptive attacks
sexism2022_english-12491,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-1513,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-6988,2.2 aggressive and emotive attacks
sexism2022_english-8256,2.1 descriptive attacks
sexism2022_english-10917,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7290,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11275,2.2 aggressive and emotive attacks
sexism2022_english-15425,2.2 aggressive and emotive attacks
sexism2022_english-8434,2.1 descriptive attacks
sexism2022_english-14776,2.2 aggressive and emotive attacks
sexism2022_english-15251,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19072,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12531,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-17443,1.2 incitement and encouragement of harm
sexism2022_english-9505,2.1 descriptive attacks
sexism2022_english-9894,2.2 aggressive and emotive attacks
sexism2022_english-10119,2.1 descriptive attacks
sexism2022_english-5400,2.2 aggressive and emotive attacks
sexism2022_english-16144,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-10819,2.2 aggressive and emotive attacks
sexism2022_english-17014,2.2 aggressive and emotive attacks
sexism2022_english-6818,2.2 aggressive and emotive attacks
sexism2022_english-15202,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16075,1.2 incitement and encouragement of harm
sexism2022_english-7329,1.1 threats of harm
sexism2022_english-10208,3.3 backhanded gendered compliments
sexism2022_english-8388,1.1 threats of harm
sexism2022_english-6939,2.1 descriptive attacks
sexism2022_english-17394,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-975,2.2 aggressive and emotive attacks
sexism2022_english-2566,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7488,2.2 aggressive and emotive attacks
sexism2022_english-14948,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15336,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16236,2.2 aggressive and emotive attacks
sexism2022_english-10998,4.2 supporting systemic discrimination against women as a group
sexism2022_english-8240,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15937,2.1 descriptive attacks
sexism2022_english-5538,1.2 incitement and encouragement of harm
sexism2022_english-7260,4.2 supporting systemic discrimination against women as a group
sexism2022_english-14716,4.1 supporting mistreatment of individual women
sexism2022_english-19043,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15785,2.1 descriptive attacks
sexism2022_english-12767,3.3 backhanded gendered compliments
sexism2022_english-11475,3.2 immutable gender differences and gender stereotypes
sexism2022_english-5876,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15520,4.2 supporting systemic discrimination against women as a group
sexism2022_english-12233,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2146,2.2 aggressive and emotive attacks
sexism2022_english-13526,2.2 aggressive and emotive attacks
sexism2022_english-8525,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14946,2.2 aggressive and emotive attacks
sexism2022_english-1117,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13473,3.2 immutable gender differences and gender stereotypes
sexism2022_english-17651,2.2 aggressive and emotive attacks
sexism2022_english-15222,2.1 descriptive attacks
sexism2022_english-18904,4.2 supporting systemic discrimination against women as a group
sexism2022_english-12680,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3090,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17415,2.2 aggressive and emotive attacks
sexism2022_english-6564,2.1 descriptive attacks
sexism2022_english-13679,2.1 descriptive attacks
sexism2022_english-8799,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9200,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5111,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12735,2.2 aggressive and emotive attacks
sexism2022_english-10355,2.2 aggressive and emotive attacks
sexism2022_english-6423,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-10525,1.2 incitement and encouragement of harm
sexism2022_english-5668,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14290,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-4283,1.2 incitement and encouragement of harm
sexism2022_english-8660,2.2 aggressive and emotive attacks
sexism2022_english-9796,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13897,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-5291,3.2 immutable gender differences and gender stereotypes
sexism2022_english-4486,3.2 immutable gender differences and gender stereotypes
sexism2022_english-12503,3.2 immutable gender differences and gender stereotypes
sexism2022_english-4084,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15909,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-7878,2.2 aggressive and emotive attacks
sexism2022_english-17556,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19741,1.1 threats of harm
sexism2022_english-11499,2.2 aggressive and emotive attacks
sexism2022_english-4322,1.2 incitement and encouragement of harm
sexism2022_english-3001,2.2 aggressive and emotive attacks
sexism2022_english-12574,1.2 incitement and encouragement of harm
sexism2022_english-16733,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1723,4.2 supporting systemic discrimination against women as a group
sexism2022_english-10104,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-15831,2.1 descriptive attacks
sexism2022_english-8097,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10237,3.3 backhanded gendered compliments
sexism2022_english-6324,2.2 aggressive and emotive attacks
sexism2022_english-17167,1.2 incitement and encouragement of harm
sexism2022_english-13688,1.2 incitement and encouragement of harm
sexism2022_english-10233,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3287,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8149,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19608,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-3673,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-7211,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17965,2.2 aggressive and emotive attacks
sexism2022_english-5427,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13174,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14201,4.2 supporting systemic discrimination against women as a group
sexism2022_english-12839,1.2 incitement and encouragement of harm
sexism2022_english-15239,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2013,3.2 immutable gender differences and gender stereotypes
sexism2022_english-716,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6217,2.2 aggressive and emotive attacks
sexism2022_english-15777,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2238,2.1 descriptive attacks
sexism2022_english-221,2.1 descriptive attacks
sexism2022_english-9125,2.1 descriptive attacks
sexism2022_english-14569,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11064,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7723,2.2 aggressive and emotive attacks
sexism2022_english-12805,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11603,2.1 descriptive attacks
sexism2022_english-11675,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10375,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3143,2.1 descriptive attacks
sexism2022_english-14645,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3612,2.1 descriptive attacks
sexism2022_english-19337,2.1 descriptive attacks
sexism2022_english-12055,2.1 descriptive attacks
sexism2022_english-10571,3.2 immutable gender differences and gender stereotypes
sexism2022_english-13117,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-800,1.2 incitement and encouragement of harm
sexism2022_english-10352,2.2 aggressive and emotive attacks
sexism2022_english-2795,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11098,2.1 descriptive attacks
sexism2022_english-13269,2.1 descriptive attacks
sexism2022_english-16170,1.2 incitement and encouragement of harm
sexism2022_english-2330,2.2 aggressive and emotive attacks
sexism2022_english-18416,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18838,2.2 aggressive and emotive attacks
sexism2022_english-11797,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5077,2.1 descriptive attacks
sexism2022_english-8294,2.2 aggressive and emotive attacks
sexism2022_english-17308,2.1 descriptive attacks
sexism2022_english-9579,2.2 aggressive and emotive attacks
sexism2022_english-9849,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10070,1.1 threats of harm
sexism2022_english-2906,4.2 supporting systemic discrimination against women as a group
sexism2022_english-3065,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16555,2.2 aggressive and emotive attacks
sexism2022_english-10429,1.2 incitement and encouragement of harm
sexism2022_english-11290,2.2 aggressive and emotive attacks
sexism2022_english-7928,2.2 aggressive and emotive attacks
sexism2022_english-10280,3.2 immutable gender differences and gender stereotypes
sexism2022_english-6527,2.1 descriptive attacks
sexism2022_english-16507,1.2 incitement and encouragement of harm
sexism2022_english-8298,2.2 aggressive and emotive attacks
sexism2022_english-15455,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19801,3.3 backhanded gendered compliments
sexism2022_english-3193,2.2 aggressive and emotive attacks
sexism2022_english-13783,1.2 incitement and encouragement of harm
sexism2022_english-13444,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18437,3.3 backhanded gendered compliments
sexism2022_english-997,4.2 supporting systemic discrimination against women as a group
sexism2022_english-729,2.2 aggressive and emotive attacks
sexism2022_english-8927,2.2 aggressive and emotive attacks
sexism2022_english-12356,1.2 incitement and encouragement of harm
sexism2022_english-7431,2.2 aggressive and emotive attacks
sexism2022_english-4348,2.1 descriptive attacks
sexism2022_english-13771,2.1 descriptive attacks
sexism2022_english-13447,3.4 condescending explanations or unwelcome advice
sexism2022_english-9704,2.2 aggressive and emotive attacks
sexism2022_english-6343,2.2 aggressive and emotive attacks
sexism2022_english-5225,1.2 incitement and encouragement of harm
sexism2022_english-19240,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7558,2.2 aggressive and emotive attacks
sexism2022_english-16743,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1255,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-14104,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7205,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9883,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6485,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17977,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11871,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19214,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-10766,1.1 threats of harm
sexism2022_english-8741,3.2 immutable gender differences and gender stereotypes
sexism2022_english-694,2.2 aggressive and emotive attacks
sexism2022_english-610,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11448,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5160,1.2 incitement and encouragement of harm
sexism2022_english-18743,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5770,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1945,2.1 descriptive attacks
sexism2022_english-2427,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1397,1.2 incitement and encouragement of harm
sexism2022_english-11017,2.1 descriptive attacks
sexism2022_english-10367,2.1 descriptive attacks
sexism2022_english-4610,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10082,3.3 backhanded gendered compliments
sexism2022_english-16543,2.2 aggressive and emotive attacks
sexism2022_english-1738,1.2 incitement and encouragement of harm
sexism2022_english-17607,3.3 backhanded gendered compliments
sexism2022_english-13206,1.2 incitement and encouragement of harm
sexism2022_english-15808,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16440,2.2 aggressive and emotive attacks
sexism2022_english-16799,2.1 descriptive attacks
sexism2022_english-13213,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5136,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15541,2.1 descriptive attacks
sexism2022_english-2930,3.3 backhanded gendered compliments
sexism2022_english-15589,2.2 aggressive and emotive attacks
sexism2022_english-9099,2.2 aggressive and emotive attacks
sexism2022_english-15297,2.1 descriptive attacks
sexism2022_english-2964,2.1 descriptive attacks
sexism2022_english-11712,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-6114,2.1 descriptive attacks
sexism2022_english-7840,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-4970,1.2 incitement and encouragement of harm
sexism2022_english-2520,1.2 incitement and encouragement of harm
sexism2022_english-16965,2.2 aggressive and emotive attacks
sexism2022_english-4658,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13546,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-6651,2.2 aggressive and emotive attacks
sexism2022_english-2353,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-17401,1.2 incitement and encouragement of harm
sexism2022_english-7108,2.1 descriptive attacks
sexism2022_english-10059,2.1 descriptive attacks
sexism2022_english-337,1.2 incitement and encouragement of harm
sexism2022_english-6230,3.2 immutable gender differences and gender stereotypes
sexism2022_english-486,2.1 descriptive attacks
sexism2022_english-4934,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7030,2.1 descriptive attacks
sexism2022_english-1377,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19222,2.1 descriptive attacks
sexism2022_english-12214,1.2 incitement and encouragement of harm
sexism2022_english-12179,2.2 aggressive and emotive attacks
sexism2022_english-6268,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16093,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7852,2.2 aggressive and emotive attacks
sexism2022_english-1699,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19910,2.1 descriptive attacks
sexism2022_english-17143,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1191,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1604,4.1 supporting mistreatment of individual women
sexism2022_english-4609,2.2 aggressive and emotive attacks
sexism2022_english-8040,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10838,2.1 descriptive attacks
sexism2022_english-259,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7523,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9062,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14563,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15003,2.1 descriptive attacks
sexism2022_english-14876,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18288,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-14995,2.1 descriptive attacks
sexism2022_english-5578,4.2 supporting systemic discrimination against women as a group
sexism2022_english-3831,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5398,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7312,3.2 immutable gender differences and gender stereotypes
sexism2022_english-682,2.1 descriptive attacks
sexism2022_english-5685,1.1 threats of harm
sexism2022_english-11298,2.1 descriptive attacks
sexism2022_english-11830,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15527,3.2 immutable gender differences and gender stereotypes
sexism2022_english-8176,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14101,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8552,2.2 aggressive and emotive attacks
sexism2022_english-9737,1.2 incitement and encouragement of harm
sexism2022_english-18560,2.1 descriptive attacks
sexism2022_english-10377,2.1 descriptive attacks
sexism2022_english-11253,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19066,3.3 backhanded gendered compliments
sexism2022_english-3439,3.2 immutable gender differences and gender stereotypes
sexism2022_english-5622,2.1 descriptive attacks
sexism2022_english-19885,4.2 supporting systemic discrimination against women as a group
sexism2022_english-17199,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-18656,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6905,1.2 incitement and encouragement of harm
sexism2022_english-2771,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10900,2.1 descriptive attacks
sexism2022_english-8683,2.1 descriptive attacks
sexism2022_english-8832,2.2 aggressive and emotive attacks
sexism2022_english-15600,3.4 condescending explanations or unwelcome advice
sexism2022_english-17517,2.2 aggressive and emotive attacks
sexism2022_english-15758,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-906,3.3 backhanded gendered compliments
sexism2022_english-13132,2.2 aggressive and emotive attacks
sexism2022_english-7908,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17393,2.1 descriptive attacks
sexism2022_english-8841,2.2 aggressive and emotive attacks
sexism2022_english-18449,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-5642,2.2 aggressive and emotive attacks
sexism2022_english-501,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19220,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18005,2.2 aggressive and emotive attacks
sexism2022_english-7215,2.2 aggressive and emotive attacks
sexism2022_english-3252,2.2 aggressive and emotive attacks
sexism2022_english-5962,2.1 descriptive attacks
sexism2022_english-10267,4.1 supporting mistreatment of individual women
sexism2022_english-4595,1.2 incitement and encouragement of harm
sexism2022_english-2260,2.1 descriptive attacks
sexism2022_english-12733,2.1 descriptive attacks
sexism2022_english-13072,2.2 aggressive and emotive attacks
sexism2022_english-12838,2.2 aggressive and emotive attacks
sexism2022_english-16271,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-7481,4.2 supporting systemic discrimination against women as a group
sexism2022_english-3206,2.1 descriptive attacks
sexism2022_english-2101,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10164,2.2 aggressive and emotive attacks
sexism2022_english-6976,2.2 aggressive and emotive attacks
sexism2022_english-3956,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9136,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-6937,2.2 aggressive and emotive attacks
sexism2022_english-16558,2.1 descriptive attacks
sexism2022_english-2331,1.2 incitement and encouragement of harm
sexism2022_english-15446,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8232,2.2 aggressive and emotive attacks
sexism2022_english-14627,2.2 aggressive and emotive attacks
sexism2022_english-19621,2.1 descriptive attacks
sexism2022_english-7335,2.2 aggressive and emotive attacks
sexism2022_english-16778,2.1 descriptive attacks
sexism2022_english-195,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9180,1.2 incitement and encouragement of harm
sexism2022_english-19123,4.1 supporting mistreatment of individual women
sexism2022_english-9091,2.2 aggressive and emotive attacks
sexism2022_english-10706,4.2 supporting systemic discrimination against women as a group
sexism2022_english-9502,4.1 supporting mistreatment of individual women
sexism2022_english-8994,4.2 supporting systemic discrimination against women as a group
sexism2022_english-7617,2.2 aggressive and emotive attacks
sexism2022_english-16937,4.2 supporting systemic discrimination against women as a group
sexism2022_english-339,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9538,3.2 immutable gender differences and gender stereotypes
sexism2022_english-8042,2.2 aggressive and emotive attacks
sexism2022_english-17336,1.2 incitement and encouragement of harm
sexism2022_english-15128,2.1 descriptive attacks
sexism2022_english-13992,4.1 supporting mistreatment of individual women
sexism2022_english-17002,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-2470,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5021,2.2 aggressive and emotive attacks
sexism2022_english-15036,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2050,2.1 descriptive attacks
sexism2022_english-11968,3.2 immutable gender differences and gender stereotypes
sexism2022_english-6829,2.2 aggressive and emotive attacks
sexism2022_english-17963,3.4 condescending explanations or unwelcome advice
sexism2022_english-4774,2.2 aggressive and emotive attacks
sexism2022_english-14475,2.2 aggressive and emotive attacks
sexism2022_english-13351,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16653,1.1 threats of harm
sexism2022_english-12030,2.1 descriptive attacks
sexism2022_english-1013,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19750,4.2 supporting systemic discrimination against women as a group
sexism2022_english-13461,3.4 condescending explanations or unwelcome advice
sexism2022_english-3526,4.2 supporting systemic discrimination against women as a group
sexism2022_english-2485,2.2 aggressive and emotive attacks
sexism2022_english-9660,2.2 aggressive and emotive attacks
sexism2022_english-4930,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7352,2.2 aggressive and emotive attacks
sexism2022_english-13138,2.2 aggressive and emotive attacks
sexism2022_english-8776,3.2 immutable gender differences and gender stereotypes
sexism2022_english-38,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13607,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-16823,"3.1 casual use of gendered slurs, profanities, and insults"
