_id,text,misogyny,ds,description
o-dang_ami_26,They call it HB. I’m a hot bitch you a has been,1,train,ami_binary_desc_26
o-dang_ami_27,I kno this bitch pussy smells really bad because she cook steak rice n corn everyday,1,train,ami_binary_desc_27
o-dang_ami_28,<MENTION_1> Cause you're a Bitch and you love those situations! 🤷🏼‍♂️,1,train,ami_binary_desc_28
o-dang_ami_29,cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np <URL>,1,train,ami_binary_desc_29
o-dang_ami_30,<MENTION_1> You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line,1,train,ami_binary_desc_30
o-dang_ami_31,And HE HAD ANOTHER GIRL WITH HIM bitch she was shook <URL>,1,train,ami_binary_desc_31
o-dang_ami_32,also this girl tried to twerk me away from barricade FUCK YOU suck my dick!,1,train,ami_binary_desc_32
o-dang_ami_33,"Boo, you sweaty whore",1,train,ami_binary_desc_33
o-dang_ami_34,"<MENTION_1> Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈",1,train,ami_binary_desc_34
o-dang_ami_35,"Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️",1,train,ami_binary_desc_35
o-dang_ami_36,Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ <URL>,1,train,ami_binary_desc_36
o-dang_ami_37,"But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂",1,train,ami_binary_desc_37
o-dang_ami_38,<MENTION_1> Wow!! Never seen a woman juggle a big cock like that,1,train,ami_binary_desc_38
o-dang_ami_39,Is it rape if you stick your finger in a bootyhole when they sleep?,1,train,ami_binary_desc_39
o-dang_ami_40,Why did women vote for Trump? bitches will vote for a bitch,1,train,ami_binary_desc_40
o-dang_ami_41,So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch,1,train,ami_binary_desc_41
o-dang_ami_42,my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb,1,train,ami_binary_desc_42
o-dang_ami_43,All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres,1,train,ami_binary_desc_43
o-dang_ami_44,I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️,1,train,ami_binary_desc_44
o-dang_ami_45,Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃,1,train,ami_binary_desc_45
o-dang_ami_46,<MENTION_1> got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️,1,train,ami_binary_desc_46
o-dang_ami_47,<MENTION_1> She probably was using it already before she took it stupid bitch.,1,train,ami_binary_desc_47
o-dang_ami_48,"<MENTION_1> you fucking slut, daddy wants you to dm him",1,train,ami_binary_desc_48
o-dang_ami_49,ALSO... still laughing at this bitch that my friend Chef brought to DirtyBird... LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 😹🤷‍♀️,1,train,ami_binary_desc_49
o-dang_ami_50,"🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️",1,train,ami_binary_desc_50
o-dang_ami_51,Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... <URL>,1,train,ami_binary_desc_51
o-dang_ami_52,Why #WomenBoycottTwitter? because you act like Ms. Whore.,1,train,ami_binary_desc_52
o-dang_ami_53,"<URL> rape and murdered children what do you expect from the religion of peace and women don't count as human, think",1,train,ami_binary_desc_53
o-dang_ami_54,First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner,1,train,ami_binary_desc_54
o-dang_ami_55,wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!,1,train,ami_binary_desc_55
o-dang_ami_56,Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy,1,train,ami_binary_desc_56
o-dang_ami_57,<MENTION_1> stupid bitch i hate you,1,train,ami_binary_desc_57
o-dang_ami_58,oh my god okay but i saw this jennie x pretty girl video and bitch i'm—,1,train,ami_binary_desc_58
o-dang_ami_59,Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch,1,train,ami_binary_desc_59
o-dang_ami_60,<MENTION_1> <MENTION_2> You are such a lucky slut girl !!!! I envy you 🤤,1,train,ami_binary_desc_60
o-dang_ami_61,Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.,1,train,ami_binary_desc_61
o-dang_ami_62,"Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all",1,train,ami_binary_desc_62
o-dang_ami_63,You only come around when you want dick.. bitch respect my energy.,1,train,ami_binary_desc_63
o-dang_ami_64,"<MENTION_1> YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate <URL>",1,train,ami_binary_desc_64
o-dang_ami_65,<MENTION_1> No bitch this girl annoying,1,train,ami_binary_desc_65
o-dang_ami_66,"Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig",1,train,ami_binary_desc_66
o-dang_ami_67,"<MENTION_1> White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!",1,train,ami_binary_desc_67
o-dang_ami_68,"Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗",1,train,ami_binary_desc_68
o-dang_ami_69,Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. <URL>,1,train,ami_binary_desc_69
o-dang_ami_70,<MENTION_1> <MENTION_2> Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒,1,train,ami_binary_desc_70
o-dang_ami_71,"<MENTION_1> No, you suck and the game said you were a slut.",1,train,ami_binary_desc_71
o-dang_ami_72,"'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror <URL> <URL>",1,train,ami_binary_desc_72
o-dang_ami_73,"<MENTION_1> Backstabbing cher hypocritical, NASTY WOMAN and a bitch, bashing my President, who screwed her way to the top.. . . . . <URL>",1,train,ami_binary_desc_73
o-dang_ami_74,...............................'I get to rape beautiful women and that's why I like working on this project.',1,train,ami_binary_desc_74
o-dang_ami_75,Fuck you bitch. I'd fight you if I wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth,1,train,ami_binary_desc_75
o-dang_ami_76,<MENTION_1> l don't even know 's that fucking women bitch <PERSON_1>..,1,train,ami_binary_desc_76
o-dang_ami_77,what the fuck 😔😔😔😳😳😳 Travis your a dumb ass bitch Kylie i still love yah girl btw 💕💕😩,1,train,ami_binary_desc_77
o-dang_ami_78,<MENTION_1> girl lmaooooo bitch I needed a heads up or something 😂😂😂,1,train,ami_binary_desc_78
o-dang_ami_79,This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.,1,train,ami_binary_desc_79
o-dang_ami_80,<MENTION_1> I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas!!! 😂😂,1,train,ami_binary_desc_80
o-dang_ami_81,Hey girl if ur still reading my tweets ..... ur a dumb bitch,1,train,ami_binary_desc_81
o-dang_ami_82,"You just have power over men altogether, women are men’s ultimate weakness after all... which is why women are slut… <URL>",1,train,ami_binary_desc_82
o-dang_ami_83,this fake bitch trynna indirect me Hello @ me if ur not a coward hoe,1,train,ami_binary_desc_83
o-dang_ami_84,<MENTION_1> back too you slut,1,train,ami_binary_desc_84
o-dang_ami_85,<MENTION_1> I tried to find a gif of Brett Butler calling you a Godless Whore but...well let's just say I didn… <URL>,1,train,ami_binary_desc_85
o-dang_ami_86,<MENTION_1> Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you,1,train,ami_binary_desc_86
o-dang_ami_87,<MENTION_1> <MENTION_2> some women love to be whores so don’t have if a pig wanna remove a pig from where he doesn’t belong! We need class,1,train,ami_binary_desc_87
o-dang_ami_88,“Fucking slut. I knew you were cheating on me.” <URL>,1,train,ami_binary_desc_88
o-dang_ami_89,Shut up bitch and suck my cock <URL>,1,train,ami_binary_desc_89
o-dang_ami_90,<MENTION_1> Telemarketer did same to me called me a whore and said he would rape me. Nice.,1,train,ami_binary_desc_90
o-dang_ami_91,And you all call me a slut. Ha not when close compared to that slut!,1,train,ami_binary_desc_91
o-dang_ami_92,Titties are 😎 but where's your ass bitch,1,train,ami_binary_desc_92
o-dang_ami_93,<MENTION_1> a bitch about to get pussy punched if she dont buy a new god damn book,1,train,ami_binary_desc_93
o-dang_ami_94,"Boy you look like you rape girls at frat parties, malicious ass racist cunt <URL>",1,train,ami_binary_desc_94
o-dang_ami_95,<MENTION_1> <MENTION_2> demi = fat and flop ariana = queen now leave stupid bitch,1,train,ami_binary_desc_95
o-dang_ami_96,<MENTION_1> <MENTION_2> I love playing with your ass will you rid my cock and I eat you out <URL>,1,train,ami_binary_desc_96
o-dang_ami_97,"Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'",1,train,ami_binary_desc_97
o-dang_ami_98,"<MENTION_1> <MENTION_2> Really? Some cunt that has Oasis lyrics in her bio is gonna tell me something? Stfu bitch, this cunt is crazy.",1,train,ami_binary_desc_98
o-dang_ami_99,why this big fat ass ugly ass bitch like me 😭 she need to UNLIKE me!!!!! i love dick! tf,1,train,ami_binary_desc_99
o-dang_ami_100,"This ignorant bitch, <MENTION_1> should know. How many women did she destroy to protect that predator husband? <URL>",1,train,ami_binary_desc_100
o-dang_ami_101,"<MENTION_1> They are nice. You mean, mean whore",1,train,ami_binary_desc_101
o-dang_ami_102,<MENTION_1> <MENTION_2> Girl or not if I saw that I'd knock the cunt out! How dare you hurt a child like that. Fucking sick twisted bitch,1,train,ami_binary_desc_102
o-dang_ami_103,"<MENTION_1> Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",1,train,ami_binary_desc_103
o-dang_ami_104,<MENTION_1> You a whore,1,train,ami_binary_desc_104
o-dang_ami_105,I had this girl bite my dick a lil too hard last night,1,train,ami_binary_desc_105
o-dang_ami_106,"<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> Hell, this stupid bitch <MENTION_6> said I wasn't even black, but a white person in blackface just because I said the NA isn't racist.",1,train,ami_binary_desc_106
o-dang_ami_107,"No apple, I don't want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car .",1,train,ami_binary_desc_107
o-dang_ami_108,<MENTION_1> <MENTION_2> I’m the big dick motherfuckin bitch hoe <URL>,1,train,ami_binary_desc_108
o-dang_ami_109,"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.",1,train,ami_binary_desc_109
o-dang_ami_110,"lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch",1,train,ami_binary_desc_110
o-dang_ami_111,Frost is a stupid bitch. <MENTION_1>,1,train,ami_binary_desc_111
o-dang_ami_112,Thots be like 'OMG she's such a slut' #FirstofAll didn't you fuck the whole football team???,1,train,ami_binary_desc_112
o-dang_ami_113,"<MENTION_1> <MENTION_2> bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball… <URL>",1,train,ami_binary_desc_113
o-dang_ami_114,boo seungkwan a visual hole ???? bitch i think the fuk not #SVT_PROJECT_VOCAL #PINWHEEL <URL>,1,train,ami_binary_desc_114
o-dang_ami_115,Bitch you stupid but you aint stupid stupid 😂😂😂 <URL>,1,train,ami_binary_desc_115
o-dang_ami_116,Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass,1,train,ami_binary_desc_116
o-dang_ami_117,I hate this British woman of letters bitch,1,train,ami_binary_desc_117
o-dang_ami_118,Cunt and demon bitch Betsy Devos is an evil evil antichrist lying warlock for oil and money <URL>,1,train,ami_binary_desc_118
o-dang_ami_119,I don’t really appreciate some of you that participated in “Fine Women Friday” ; This is my personal opinion though & your Granny a hoe...,1,train,ami_binary_desc_119
o-dang_ami_120,Happy 21st Birthday to my Slut🤘🏾🎂 you already know what we on😈 <MENTION_1>,1,train,ami_binary_desc_120
o-dang_ami_121,Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch,1,train,ami_binary_desc_121
o-dang_ami_122,Where's this bitch Gloria Steinem in all this abuse against women <URL>,1,train,ami_binary_desc_122
o-dang_ami_123,your girlfriend a major snorter but that bitch ain't worth a quarter 😬,1,train,ami_binary_desc_123
o-dang_ami_124,"Your girl is a hoe, she fucked all my bros",1,train,ami_binary_desc_124
o-dang_ami_125,<MENTION_1> <MENTION_2> Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,1,train,ami_binary_desc_125
o-dang_ami_126,"Lmao, <MENTION_1> went off on the whore groupie hoe in Scott’s bathroom. Yes bitch!",1,train,ami_binary_desc_126
o-dang_ami_127,You’re in the middle of being a woman or being a bitch?,1,train,ami_binary_desc_127
o-dang_ami_128,This bitch for real said you're not a woman without boobs.,1,train,ami_binary_desc_128
o-dang_ami_129,Went to <MENTION_1> stupid bitch put one in upside down one side ways. #wtf £6 we'll spent #cunt <URL>,1,train,ami_binary_desc_129
o-dang_ami_130,I hate coming to the city people real life know my car like pussy study yo bitch car 😩😂,1,train,ami_binary_desc_130
o-dang_ami_131,i use to get sky at my dads house but his whore girlfriend never use to let me watch it,1,train,ami_binary_desc_131
o-dang_ami_132,even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd,1,train,ami_binary_desc_132
o-dang_ami_133,<MENTION_1> Dirty smelly cunt slut whores. Hope your old man rots in a cell.,1,train,ami_binary_desc_133
o-dang_ami_134,"Getting her pussy and ass ate at the same time , now that's goals bitch",1,train,ami_binary_desc_134
o-dang_ami_135,"lol, chop her head off and rape the bitch <URL>",1,train,ami_binary_desc_135
o-dang_ami_136,disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it. you owe everything to women so shut UP!!! <URL>,1,train,ami_binary_desc_136
o-dang_ami_137,This pussy mine girl tell me you like Daddy dick.... 🙄 FIRST OF ALL WRONG HOLE FOO,1,train,ami_binary_desc_137
o-dang_ami_138,Her hairy old cunt gets drilled by stiff dick <URL>,1,train,ami_binary_desc_138
o-dang_ami_139,<MENTION_1> I moan as I watch your perfect blue pussy descend upon my big dick.,1,train,ami_binary_desc_139
o-dang_ami_140,<MENTION_1> <MENTION_2> <MENTION_3> Suck my dick you stupid bitch.,1,train,ami_binary_desc_140
o-dang_ami_141,<MENTION_1> Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂,1,train,ami_binary_desc_141
o-dang_ami_142,<MENTION_1> I love your ass bitch <URL>,1,train,ami_binary_desc_142
o-dang_ami_143,<MENTION_1> go rape your whore of a mother,1,train,ami_binary_desc_143
o-dang_ami_144,"<MENTION_1> <MENTION_2> What a stupid bitch , talks utter shite this woman . pure fucking evil too .",1,train,ami_binary_desc_144
o-dang_ami_145,Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂,1,train,ami_binary_desc_145
o-dang_ami_146,<MENTION_1> Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore,1,train,ami_binary_desc_146
o-dang_ami_147,<MENTION_1> then why tho?? u damn stupid hoe 😂,1,train,ami_binary_desc_147
o-dang_ami_148,"Why is it whenever I talk to girls, they just cut off communication with me for no reason? And no explanation? O yea I know, cuz #WomenSuck",1,train,ami_binary_desc_148
o-dang_ami_149,Why do women have periods? Because they deserve them,1,train,ami_binary_desc_149
o-dang_ami_150,What takes up 12 parking spaces? 6 women drivers,1,train,ami_binary_desc_150
o-dang_ami_151,Who makes the sandwiches at a feminist rally?,1,train,ami_binary_desc_151
o-dang_ami_152,Why did God invent the yeast infection? So women know what it's like living with an irritating cunt,1,train,ami_binary_desc_152
o-dang_ami_153,God doesn't hate gays he's just mad they found a loop hole in dealing with women,1,train,ami_binary_desc_153
o-dang_ami_154,Why is a female like a laxative? They both irritate the shit out of you.,1,train,ami_binary_desc_154
o-dang_ami_155,Why aren't women marching on the streets demanding the #draft for all women? Men know the answer. Women are lazy. <URL>,1,train,ami_binary_desc_155
o-dang_ami_156,When you're flexin on these bitches <URL>,1,train,ami_binary_desc_156
o-dang_ami_157,I need some new Atl hoes for the summer... Where the Atl bitches at,1,train,ami_binary_desc_157
o-dang_ami_158,Too many women confuse their hearts with their vaginas,1,train,ami_binary_desc_158
o-dang_ami_159,"Strippers tryin to get me to the champagne rm is my favorite thing.. ✋🏼 bitch please, you'll be paying for this dick by the end of the night",1,train,ami_binary_desc_159
o-dang_ami_160,"People in airport bars always wanna tell you their life stories... STFU Bill, IDGAF about your stupid daughter and whore wife",1,train,ami_binary_desc_160
o-dang_ami_161,"If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday",1,train,ami_binary_desc_161
o-dang_ami_162,"He cheated on you? That's nice. Now go sit in the corner, drink your lemonade and cry, bitch",1,train,ami_binary_desc_162
o-dang_ami_163,"If I put my fingers inside of you and you won't taste yourself, you can bet your ass I'm not tasting you either",1,train,ami_binary_desc_163
o-dang_ami_164,I hate it when waitresses call me 'sir'... Like yeah bitch that's what I wanted with my lunch... A hard fuckin dick,1,train,ami_binary_desc_164
o-dang_ami_165,Bitches are always sayin 'it's the little things' until you have a -a little bank account -a little drinking problem -or a little dick,1,train,ami_binary_desc_165
o-dang_ami_166,I treat women like fuck toys cause that's all they are to me,1,train,ami_binary_desc_166
o-dang_ami_167,Pro Tip- Put all your bitches on a period tracker app so you know when to avoid they ass,1,train,ami_binary_desc_167
o-dang_ami_168,<MENTION_1> you're too sweet ya sexy bitch 😘,1,train,ami_binary_desc_168
o-dang_ami_169,You don't have to worry about angles anymore... These bitches out here face swapping with their friends tryna trick to ass,1,train,ami_binary_desc_169
o-dang_ami_170,Bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out,1,train,ami_binary_desc_170
o-dang_ami_171,Head so sloppy had to get that bitch a bib <URL>,1,train,ami_binary_desc_171
o-dang_ami_172,"No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts",1,train,ami_binary_desc_172
o-dang_ami_173,Donald- you stupid bitch Hillary- you fuckin buffoon Donald- think they believe we hate each other? Ah fuck it lets go get a drink <URL>,1,train,ami_binary_desc_173
o-dang_ami_174,"I don't catch feelings, I don't catch flights, but I do catch dudes slippin and fuck their girls",1,train,ami_binary_desc_174
o-dang_ami_175,Ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it,1,train,ami_binary_desc_175
o-dang_ami_176,My uncle Vern said women get their peiods because it's the only way God could get rid of some of their evil #womenareevil #evilwomen!!,1,train,ami_binary_desc_176
o-dang_ami_177,Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?,1,train,ami_binary_desc_177
o-dang_ami_178,THERE ARE WOMEN MAKING BURRITOS AT THE JACKSONVILLE CHIPOLTLE!! DO NOT EAT THERE!! #womencantmakeburritos #sheforgottheguacamole #badburri!!,1,train,ami_binary_desc_178
o-dang_ami_179,WASNT IT GEORGE WASHINGTON WHO SAID 'FUCK BITCHES GET MONEY'?,1,train,ami_binary_desc_179
o-dang_ami_180,Feminism is cancer. #TheRedPill is chemo. Burn those bitches away.!,1,train,ami_binary_desc_180
o-dang_ami_181,"Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !!",1,train,ami_binary_desc_181
o-dang_ami_182,We can't have a woman in the White House. What if she starts PMSing and drops bombs everywhere?/,1,train,ami_binary_desc_182
o-dang_ami_183,If a woman doesn't want you just unleash your charm. Women are weak and will cave after almost nothing.;,1,train,ami_binary_desc_183
o-dang_ami_184,Women are beautiful to me when they are silent. Why do they have to speak up and ruin things??!,1,train,ami_binary_desc_184
o-dang_ami_185,Its a good thing I always wear a glove on my left hand because if I EVER had to touch hands with a woman my IQ would totally drop to 0 Lol,1,train,ami_binary_desc_185
o-dang_ami_186,"The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.#",1,train,ami_binary_desc_186
o-dang_ami_187,"I'm pretty sure it was Abe Lincon who said 'Fool me once bitch, shame on you. Fool me twice, I'm no longer a man and am now a dumb woman'*",1,train,ami_binary_desc_187
o-dang_ami_188,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..,1,train,ami_binary_desc_188
o-dang_ami_189,Want to know what's really 'problematic' ?? Women freaking out over nothing! #triggered #idiots@,1,train,ami_binary_desc_189
o-dang_ami_190,IS there a thing in the constituion about women shutting the hell up? COME ON! #shutthehellupwomen..,1,train,ami_binary_desc_190
o-dang_ami_191,"NEXT TIME I SEE A WOMAN IN PUBLIC TRYING TO 'GO ABOUT HER DAY' I'll remind her that without men, this society would just be a bunch of WOM",1,train,ami_binary_desc_191
o-dang_ami_192,WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..,1,train,ami_binary_desc_192
o-dang_ami_193,"The last time I saw a woman of value was at the strip club, and she was worth $1 LOL;",1,train,ami_binary_desc_193
o-dang_ami_194,These feminists are just too-ugly sluts who want attention!*,1,train,ami_binary_desc_194
o-dang_ami_195,The more WOMEN in the workplace means LESS WOMEN IN THE KITCHEN. Like and retweet if you see this as a big problem #ilovefood #homecookedm#,1,train,ami_binary_desc_195
o-dang_ami_196,I have never once met a woman whose mouth wasn't totally full of BULLSHIT. Stupid bitches!!,1,train,ami_binary_desc_196
o-dang_ami_197,"The Olympics was fun, except for the fact that I would never watch a woman play sports.@",1,train,ami_binary_desc_197
o-dang_ami_198,I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#,1,train,ami_binary_desc_198
o-dang_ami_199,Women want to be equal so now they don't shave their legs??? Gross*,1,train,ami_binary_desc_199
o-dang_ami_200,<MENTION_1> <MENTION_2> is this to do with crazy bitch Hillary or no?,1,train,ami_binary_desc_200
o-dang_ami_201,<MENTION_1> YOU FVCKING CUNT BITCH!!! APOLOGIZE! <MENTION_2> <MENTION_3> <MENTION_2>Politics,1,train,ami_binary_desc_201
o-dang_ami_202,<MENTION_1> dont u have anything better to do u cunt bitch,1,train,ami_binary_desc_202
o-dang_ami_203,"<MENTION_1> fuck you, you racist bitch, and cunt piece of shit, glad we know now where your entire family stands on social issues",1,train,ami_binary_desc_203
o-dang_ami_204,Black Bitch Gets Cock Shoved In Her Waiting Cunt <URL>,1,train,ami_binary_desc_204
o-dang_ami_205,<MENTION_1> I know fucker bitch i rode with you one time remember cunt whore? Never again will i fuck around with the fuck around 😂😂,1,train,ami_binary_desc_205
o-dang_ami_206,Calling someone a bitch and a cunt is not the way to do it.,1,train,ami_binary_desc_206
o-dang_ami_207,<MENTION_1> <MENTION_2> <MENTION_3> Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth,1,train,ami_binary_desc_207
o-dang_ami_208,<MENTION_1> <MENTION_2> I hate you you fucking cunt bitch how fucking dare you I hope you wake up with mad cott… <URL>,1,train,ami_binary_desc_208
o-dang_ami_209,<MENTION_1> <MENTION_2> Shut up cunt bitch whore,1,train,ami_binary_desc_209
o-dang_ami_210,<MENTION_1> Bitch is a ugly 3rd world kunt wit no ass and flopper jugs. Hate her,1,train,ami_binary_desc_210
o-dang_ami_211,"niggas think bitches supposed to suck their lil ass dick and not give a bitch head too, like that's not how it works whore !!",1,train,ami_binary_desc_211
o-dang_ami_212,<MENTION_1> You ain’t shit bitch shut your whore mouth,1,train,ami_binary_desc_212
o-dang_ami_213,You mother fucking piece of trash stupid fucking idiot hoe i hope you fucking die in hell son of a father fucking fuck bitch whore you fucki,1,train,ami_binary_desc_213
o-dang_ami_214,What a suprise my Ex Wife is being a Whore for haloween wait until the kids turn 18 karen FUCK YO.u Whore Bitch You Lying Steali,1,train,ami_binary_desc_214
o-dang_ami_215,<MENTION_1> <MENTION_2> How about that liberal whore Chelsea Handler? That bitch definitely sounds ignorant!,1,train,ami_binary_desc_215
o-dang_ami_216,"<MENTION_1> then you bitch m complain when you get them haha stop being a little bitch and just accept what you are, you filthy whore 😎",1,train,ami_binary_desc_216
o-dang_ami_217,I just need women who know how to treat a bottom beta bitch girl like me right. That aren't afraid to take what they want.,1,train,ami_binary_desc_217
o-dang_ami_218,All women have the incredible ability to determine if another woman is a bitch based solely on her shoes.,1,train,ami_binary_desc_218
