id,corpus,valence,dominance,arousal
173345,emobank,3.0,2.9,2.7
173346,emobank,2.1,2.7,3.1
173347,emobank,2.4,3.1,3.1
173348,emobank,3.0,3.43,2.71
173349,emobank,3.62,3.0,3.87
173350,emobank,2.9,3.0,2.9
173351,emobank,1.9,2.9,3.3
173352,emobank,3.1,3.1,2.8
173353,emobank,2.29,2.86,3.29
173354,emobank,2.5,2.8,2.9
173355,emobank,3.33,2.78,3.0
173356,emobank,3.1,3.4,3.2
173357,emobank,2.7,2.7,3.1
173358,emobank,2.78,2.89,2.67
173359,emobank,3.4,3.3,3.0
173360,emobank,4.0,3.7,3.5
173361,emobank,3.2,3.2,2.8
173362,emobank,3.0,3.11,2.89
173363,emobank,3.1,3.0,3.2
173364,emobank,3.43,3.0,3.29
173365,emobank,3.4,3.2,2.8
173366,emobank,3.2,3.0,2.7
173367,emobank,3.0,3.0,2.7
173368,emobank,3.0,2.8,2.4
173369,emobank,3.11,3.0,2.89
173370,emobank,3.57,3.14,3.0
173371,emobank,3.44,2.78,3.11
173372,emobank,2.43,2.57,3.29
173373,emobank,2.8,3.3,2.9
173374,emobank,3.0,3.0,2.38
173375,emobank,3.7,3.2,3.3
173376,emobank,3.4,2.9,2.9
173377,emobank,3.0,3.0,2.89
173378,emobank,2.9,3.0,2.8
173379,emobank,2.88,2.75,3.0
173380,emobank,3.44,3.44,3.33
173381,emobank,3.3,3.0,3.1
173382,emobank,3.78,3.56,3.44
173383,emobank,3.55,3.27,2.91
173384,emobank,3.33,3.0,2.89
173385,emobank,3.5,3.2,3.3
173386,emobank,3.29,3.0,2.86
173387,emobank,3.25,3.25,3.12
173388,emobank,3.4,3.0,2.9
173389,emobank,4.3,2.9,3.6
173390,emobank,3.12,3.12,3.0
173391,emobank,3.0,3.0,3.14
173392,emobank,3.0,3.0,2.6
173393,emobank,4.0,3.29,3.43
173394,emobank,2.7,2.8,2.9
173395,emobank,3.2,3.1,3.1
173396,emobank,3.0,3.13,2.62
173397,emobank,3.3,3.1,3.0
173398,emobank,2.33,3.11,3.11
173399,emobank,3.12,3.0,3.0
173400,emobank,2.12,2.75,3.25
173401,emobank,2.4,2.8,3.0
173402,emobank,3.0,3.0,2.88
173403,emobank,3.0,3.14,3.0
173404,emobank,3.78,3.44,3.22
173405,emobank,3.2,3.1,2.8
173406,emobank,3.1,3.3,3.3
173407,emobank,3.1,3.0,2.9
173408,emobank,3.1,3.1,2.9
173409,emobank,3.4,3.3,3.0
173410,emobank,2.5,3.0,2.8
173411,emobank,3.1,3.3,3.1
173412,emobank,2.25,3.0,2.88
173413,emobank,2.44,2.78,2.78
173414,emobank,3.1,3.3,3.2
173415,emobank,3.1,2.8,2.7
173416,emobank,2.9,3.0,3.0
173417,emobank,3.1,3.2,3.4
173418,emobank,3.11,3.11,3.11
173419,emobank,3.37,3.12,3.25
173420,emobank,3.22,3.22,3.33
173421,emobank,3.6,2.9,3.3
173422,emobank,3.0,3.0,2.83
173423,emobank,3.0,3.0,2.8
173424,emobank,3.43,3.14,3.29
173425,emobank,3.67,3.67,3.67
173426,emobank,3.0,3.17,3.0
173427,emobank,3.2,3.0,2.6
173428,emobank,3.14,3.0,2.86
173429,emobank,3.6,3.3,3.2
173430,emobank,3.14,3.0,3.0
173431,emobank,3.29,3.29,2.71
173432,emobank,3.4,2.9,3.3
173433,emobank,3.1,3.0,3.2
173434,emobank,4.0,3.0,4.1
173435,emobank,3.2,3.2,3.2
173436,emobank,3.0,3.22,3.11
173437,emobank,3.0,2.71,3.0
173438,emobank,2.83,2.83,3.0
173439,emobank,3.1,3.4,3.2
173440,emobank,3.0,2.9,2.9
173441,emobank,3.0,3.0,2.71
173442,emobank,3.11,3.0,2.67
173443,emobank,3.0,3.0,2.9
173444,emobank,2.45,2.45,3.0
173445,emobank,3.0,3.0,2.7
173446,emobank,3.11,3.11,3.0
173447,emobank,3.3,3.3,3.0
173448,emobank,3.44,3.33,3.22
173449,emobank,3.0,3.0,2.7
173450,emobank,2.2,2.8,3.0
173451,emobank,3.2,3.1,2.9
173452,emobank,3.9,3.4,3.1
173453,emobank,3.5,3.6,3.8
173454,emobank,3.33,2.89,3.22
173455,emobank,3.4,3.1,3.3
173456,emobank,3.5,3.38,3.5
173457,emobank,3.14,3.43,2.86
173458,emobank,3.0,3.1,3.2
173459,emobank,3.1,3.1,2.9
173460,emobank,3.75,3.12,3.63
173461,emobank,3.2,3.1,3.2
173462,emobank,3.9,3.1,3.8
173463,emobank,3.33,3.22,3.44
173464,emobank,3.3,3.2,3.0
173465,emobank,3.0,3.0,2.75
173466,emobank,3.4,3.0,3.2
173467,emobank,3.3,2.9,2.6
173468,emobank,3.0,3.62,3.62
173469,emobank,3.8,3.3,3.5
173470,emobank,3.29,3.14,3.43
173471,emobank,4.2,3.3,4.0
173472,emobank,3.12,3.12,3.0
173473,emobank,3.0,2.88,3.12
173474,emobank,3.34,3.34,2.89
173475,emobank,3.25,3.12,3.12
173476,emobank,3.4,3.2,3.3
173477,emobank,3.1,3.0,2.9
173478,emobank,2.89,3.22,2.67
173479,emobank,3.0,3.2,2.6
173480,emobank,3.22,3.33,3.11
173481,emobank,3.2,3.0,2.6
173482,emobank,3.12,3.12,3.12
173483,emobank,3.62,3.25,3.38
173484,emobank,2.8,3.0,2.8
173485,emobank,3.1,3.1,3.2
173486,emobank,3.9,3.2,3.4
173487,emobank,3.09,3.0,2.73
173488,emobank,3.0,3.0,2.6
173489,emobank,2.92,2.92,2.5
173490,emobank,2.5,2.88,2.88
173491,emobank,3.0,3.0,3.0
173492,emobank,3.3,3.2,3.4
173493,emobank,3.4,3.1,3.1
173494,emobank,3.2,2.9,3.4
173495,emobank,3.4,3.2,2.9
173496,emobank,3.25,3.25,3.0
173497,emobank,2.55,3.0,2.91
173498,emobank,3.3,3.2,3.3
173499,emobank,3.4,3.3,3.2
173500,emobank,3.2,2.9,3.3
173501,emobank,3.0,3.0,2.9
173502,emobank,3.0,3.11,2.78
173503,emobank,3.0,3.0,2.5
173504,emobank,3.6,3.4,3.5
173505,emobank,3.1,3.0,2.9
173506,emobank,3.0,3.2,2.2
173507,emobank,3.11,2.67,3.11
173508,emobank,3.2,3.0,3.2
173509,emobank,3.0,3.0,2.4
173510,emobank,3.5,3.2,3.8
173511,emobank,3.1,3.1,3.0
173512,emobank,2.8,3.1,3.1
173513,emobank,3.5,3.5,3.5
173514,emobank,3.0,3.1,2.9
173515,emobank,3.25,3.25,3.62
173516,emobank,3.29,3.29,3.29
173517,emobank,3.0,3.0,3.0
173518,emobank,3.09,3.0,2.73
173519,emobank,3.6,2.9,3.0
173520,emobank,3.9,3.4,3.5
173521,emobank,3.3,3.3,3.1
173522,emobank,3.0,3.0,2.36
173523,emobank,3.5,2.9,2.7
173524,emobank,3.0,3.0,2.75
173525,emobank,3.1,3.0,2.9
173526,emobank,3.0,3.0,2.88
173527,emobank,3.0,2.5,3.2
173528,emobank,4.11,3.0,3.22
173529,emobank,3.0,2.88,2.88
173530,emobank,3.0,2.89,2.67
173531,emobank,3.0,3.12,2.63
173532,emobank,3.14,3.14,3.14
173533,emobank,3.2,3.3,3.0
173534,emobank,3.4,3.5,3.4
173535,emobank,2.88,2.88,2.63
173536,emobank,3.11,2.89,2.89
173537,emobank,3.5,3.0,3.3
173538,emobank,3.0,3.0,2.82
173539,emobank,2.75,3.0,3.25
173540,emobank,3.4,3.3,2.9
173541,emobank,3.5,3.4,3.3
173542,emobank,3.4,3.4,3.3
173543,emobank,3.25,3.0,3.12
173544,emobank,3.0,3.0,3.0
173545,emobank,3.0,3.14,2.86
173546,emobank,3.12,3.25,2.75
173547,emobank,3.3,3.2,3.1
173548,emobank,3.0,3.1,2.6
173549,emobank,3.6,3.3,3.2
173550,emobank,3.6,3.1,3.6
173551,emobank,3.0,3.0,2.8
173552,emobank,2.88,3.12,2.75
173553,emobank,3.1,3.0,3.1
173554,emobank,3.0,3.0,2.82
173555,emobank,3.14,3.14,3.0
173556,emobank,3.5,3.2,3.4
173557,emobank,3.1,3.0,2.8
173558,emobank,3.12,3.25,2.88
173559,emobank,3.1,3.2,2.9
173560,emobank,3.3,3.4,3.3
173561,emobank,3.2,3.1,3.0
173562,emobank,3.12,2.88,2.5
173563,emobank,3.0,3.1,3.0
173564,emobank,3.7,3.3,3.5
173565,emobank,3.0,3.14,3.0
173566,emobank,3.8,3.8,3.7
173567,emobank,3.63,3.37,3.27
173568,emobank,2.91,2.91,2.73
173569,emobank,3.1,2.9,2.9
173570,emobank,2.89,2.89,2.78
173571,emobank,3.0,3.0,3.0
173572,emobank,2.9,3.3,2.8
173573,emobank,3.0,3.2,2.8
173574,emobank,3.12,3.12,2.62
173575,emobank,2.9,3.1,3.1
173576,emobank,2.9,3.1,3.1
173577,emobank,2.9,2.7,2.7
173578,emobank,3.6,3.0,3.1
173579,emobank,3.0,3.0,2.44
173580,emobank,3.44,3.0,2.67
173581,emobank,3.27,3.36,2.73
173582,emobank,2.8,2.9,3.0
173583,emobank,3.17,3.17,3.0
173584,emobank,3.0,3.1,2.8
173585,emobank,3.3,3.1,3.2
173586,emobank,3.5,3.1,3.5
173587,emobank,2.9,3.1,3.1
173588,emobank,3.0,3.0,3.0
173589,emobank,2.9,2.8,3.1
173590,emobank,3.3,3.1,3.1
173591,emobank,3.2,3.4,3.2
173592,emobank,3.5,3.3,3.1
173593,emobank,3.3,3.1,3.0
173594,emobank,3.0,3.1,2.8
173595,emobank,3.6,3.0,2.9
173596,emobank,3.0,3.0,3.0
173597,emobank,3.0,3.2,2.8
173598,emobank,3.0,2.9,2.8
173599,emobank,3.0,3.0,2.57
173600,emobank,3.0,3.0,3.14
173601,emobank,3.11,3.11,2.56
173602,emobank,3.18,3.0,3.0
173603,emobank,3.0,3.0,2.89
173604,emobank,3.0,3.25,3.12
173605,emobank,3.3,3.0,3.1
173606,emobank,3.0,3.1,3.0
173607,emobank,3.38,3.12,2.5
173608,emobank,3.0,3.11,2.89
173609,emobank,3.33,3.22,2.78
173610,emobank,3.56,3.44,3.33
173611,emobank,3.25,3.12,3.0
173612,emobank,3.44,3.11,3.11
173613,emobank,3.12,3.0,3.0
173614,emobank,3.2,2.9,2.8
173615,emobank,3.3,3.1,3.1
173616,emobank,2.6,2.9,2.8
173617,emobank,3.3,3.4,3.2
173618,emobank,3.0,2.89,3.0
173619,emobank,3.3,3.1,3.3
173620,emobank,3.12,3.12,2.63
173621,emobank,3.36,3.27,3.09
173622,emobank,3.0,2.9,2.8
173623,emobank,2.9,3.0,2.7
173624,emobank,3.0,3.0,2.8
173625,emobank,3.3,3.3,3.0
173626,emobank,3.0,2.89,2.67
173627,emobank,3.3,3.2,3.1
173628,emobank,3.37,3.18,2.82
173629,emobank,3.2,3.4,3.5
173630,emobank,3.3,3.2,3.0
173631,emobank,3.17,3.17,3.0
173632,emobank,3.11,3.0,3.0
173633,emobank,3.11,3.11,3.0
173634,emobank,3.2,3.5,3.3
173635,emobank,3.22,3.44,2.89
173636,emobank,3.0,3.0,2.82
173637,emobank,3.0,3.11,2.89
173638,emobank,3.1,3.1,2.5
173639,emobank,3.0,3.17,2.83
173640,emobank,3.0,3.0,2.75
173641,emobank,3.2,3.2,2.9
173642,emobank,3.2,3.1,3.0
173643,emobank,3.2,2.9,3.2
173644,emobank,3.0,2.88,2.88
173645,emobank,3.4,3.1,3.1
173646,emobank,2.88,3.0,3.25
173647,emobank,3.43,3.29,3.43
173648,emobank,3.12,3.0,2.62
173649,emobank,3.63,3.37,3.25
173650,emobank,3.0,3.0,2.7
173651,emobank,3.5,3.12,3.13
173652,emobank,3.0,3.0,2.88
173653,emobank,3.0,3.0,2.78
173654,emobank,3.0,2.86,2.72
173655,emobank,3.2,3.2,3.1
173656,emobank,3.4,3.3,3.2
173657,emobank,3.0,3.0,2.75
173658,emobank,3.2,3.3,3.1
173659,emobank,3.27,3.09,2.82
173660,emobank,3.38,3.12,2.62
173661,emobank,3.12,3.0,2.88
173662,emobank,3.2,3.0,2.8
173663,emobank,2.73,2.91,3.0
173664,emobank,3.3,3.3,2.9
173665,emobank,3.0,3.0,2.8
173666,emobank,3.43,3.29,3.29
173667,emobank,3.2,3.2,3.2
173668,emobank,3.44,3.22,3.22
173669,emobank,3.1,3.0,2.7
173670,emobank,3.0,3.0,3.0
173671,emobank,3.17,3.17,3.0
173672,emobank,3.0,2.75,2.62
173673,emobank,3.2,3.5,3.0
173674,emobank,3.2,3.1,3.0
173675,emobank,3.62,3.12,3.12
173676,emobank,3.11,3.11,3.11
173677,emobank,3.11,3.22,2.89
173678,emobank,3.6,3.2,3.1
173679,emobank,3.56,3.0,3.0
173680,emobank,3.0,3.2,2.9
173681,emobank,3.0,3.1,2.6
173682,emobank,3.2,3.2,2.8
173683,emobank,3.38,3.0,2.88
173684,emobank,3.5,3.3,3.4
173685,emobank,3.0,3.0,2.86
173686,emobank,3.6,3.4,3.1
173687,emobank,3.0,3.0,2.8
173688,emobank,3.43,3.14,3.29
173689,emobank,3.0,3.2,2.9
173690,emobank,3.14,3.0,3.0
173691,emobank,3.7,3.3,3.2
173692,emobank,3.44,3.22,3.0
173693,emobank,3.17,3.17,2.66
173694,emobank,3.1,3.1,2.9
173695,emobank,3.0,3.0,2.78
173696,emobank,3.3,3.2,3.3
173697,emobank,3.12,3.12,3.0
173698,emobank,3.7,3.1,3.2
173699,emobank,3.14,3.14,3.14
173700,emobank,3.28,3.0,3.0
173701,emobank,3.67,3.22,3.44
173702,emobank,3.1,3.1,2.9
173703,emobank,3.0,2.67,3.44
173704,emobank,3.1,3.1,3.1
173705,emobank,3.22,2.89,3.0
173706,emobank,3.0,3.0,2.8
173707,emobank,3.1,3.1,3.2
173708,emobank,3.0,2.9,2.9
173709,emobank,3.4,3.3,3.3
173710,emobank,3.29,3.14,3.29
173711,emobank,3.43,3.0,2.57
173712,emobank,3.1,3.3,3.1
173713,emobank,2.9,3.2,2.6
173714,emobank,3.33,3.33,3.0
173715,emobank,3.5,3.3,3.3
173716,emobank,3.0,3.1,3.2
173717,emobank,3.5,3.25,3.13
173718,emobank,2.1,2.7,3.4
173719,emobank,3.43,3.14,2.86
173720,emobank,3.0,3.18,3.09
173721,emobank,3.6,3.2,2.9
173722,emobank,3.57,3.71,3.57
173723,emobank,3.4,3.0,3.1
173724,emobank,3.25,2.88,2.88
173725,emobank,3.09,3.18,2.73
173726,emobank,3.37,3.5,2.75
173727,emobank,3.2,3.0,3.1
173728,emobank,3.1,3.1,3.1
173729,emobank,2.5,3.1,3.2
173730,emobank,2.8,2.8,3.0
173731,emobank,3.9,3.5,3.6
173732,emobank,2.88,3.12,3.12
173733,emobank,3.11,3.11,3.11
173734,emobank,2.57,3.0,3.14
173735,emobank,3.28,3.14,3.0
173736,emobank,3.3,3.0,2.8
173737,emobank,3.3,3.0,3.0
173738,emobank,3.0,2.9,2.9
173739,emobank,3.5,3.5,3.4
173740,emobank,3.0,3.0,3.14
173741,emobank,3.2,3.2,3.0
173742,emobank,3.0,3.0,2.9
173743,emobank,3.2,3.0,2.6
173744,emobank,3.7,3.2,3.1
173745,emobank,3.3,3.1,2.5
173746,emobank,3.2,3.1,3.0
173747,emobank,3.5,3.0,2.7
173748,emobank,3.29,3.0,3.14
173749,emobank,3.2,3.2,3.3
173750,emobank,3.3,3.2,3.0
173751,emobank,3.6,3.2,3.0
173752,emobank,3.2,3.2,2.7
173753,emobank,3.8,3.3,3.4
173754,emobank,2.9,3.1,3.1
173755,emobank,3.7,3.4,3.3
173756,emobank,4.0,2.9,3.1
173757,emobank,3.33,3.11,3.11
173758,emobank,2.9,2.8,3.0
173759,emobank,2.38,2.88,3.0
173760,emobank,3.0,3.29,3.14
173761,emobank,3.0,3.0,2.9
173762,emobank,3.0,3.0,3.0
173763,emobank,2.83,3.5,3.0
173764,emobank,3.5,3.38,3.12
173765,emobank,3.14,3.14,2.86
173766,emobank,3.29,3.29,2.71
173767,emobank,3.5,3.5,3.88
173768,emobank,3.1,3.1,2.9
173769,emobank,3.2,3.1,3.2
173770,emobank,3.0,3.2,3.1
173771,emobank,3.6,3.1,3.1
173772,emobank,3.22,3.33,3.0
173773,emobank,3.17,3.0,2.67
173774,emobank,3.0,3.0,2.8
173775,emobank,3.4,3.0,3.7
173776,emobank,3.1,3.0,2.7
173777,emobank,3.5,3.2,3.0
173778,emobank,2.8,2.8,2.9
173779,emobank,3.0,3.1,2.9
173780,emobank,3.0,3.0,2.5
173781,emobank,3.0,3.0,2.8
173782,emobank,3.25,3.37,2.75
173783,emobank,2.5,2.9,3.1
173784,emobank,3.2,3.2,3.2
173785,emobank,3.6,3.2,3.4
173786,emobank,3.8,3.3,3.6
173787,emobank,3.29,3.14,3.14
173788,emobank,3.3,3.1,3.0
173789,emobank,3.0,2.71,2.86
173790,emobank,3.25,3.38,3.25
173791,emobank,3.6,3.1,3.1
173792,emobank,3.4,3.4,3.0
173793,emobank,3.0,3.0,2.8
173794,emobank,3.2,3.0,2.9
173795,emobank,3.0,3.0,3.0
173796,emobank,3.0,3.25,3.0
173797,emobank,3.2,3.1,2.9
173798,emobank,3.0,3.0,2.8
173799,emobank,3.38,3.25,3.12
173800,emobank,2.8,2.9,3.0
173801,emobank,3.0,3.0,2.8
173802,emobank,3.2,3.0,3.0
173803,emobank,3.0,3.0,3.0
173804,emobank,3.25,3.25,2.87
173805,emobank,3.0,3.0,3.0
173806,emobank,3.0,2.89,2.56
173807,emobank,3.0,3.0,2.71
173808,emobank,3.0,3.12,3.0
173809,emobank,2.8,2.8,3.3
173810,emobank,3.17,3.17,2.83
173811,emobank,2.6,2.9,3.1
173812,emobank,2.22,2.67,3.11
173813,emobank,2.9,3.0,2.9
173814,emobank,2.5,2.8,2.9
173815,emobank,3.0,3.2,3.1
173816,emobank,3.1,3.0,2.7
173817,emobank,2.6,3.0,3.3
173818,emobank,2.82,3.27,3.0
173819,emobank,2.5,2.9,2.7
173820,emobank,3.1,3.1,3.1
173821,emobank,3.0,3.0,3.0
173822,emobank,2.86,3.14,3.0
173823,emobank,3.12,3.25,2.87
173824,emobank,3.0,3.09,3.09
173825,emobank,2.2,3.1,3.2
173826,emobank,2.9,2.8,3.2
173827,emobank,3.0,3.0,2.86
173828,emobank,2.7,3.1,3.4
173829,emobank,3.11,3.0,2.89
173830,emobank,2.57,3.57,3.29
173831,emobank,3.1,3.0,2.7
173832,emobank,2.9,3.3,3.3
173833,emobank,2.89,2.89,3.0
173834,emobank,3.0,3.0,3.0
173835,emobank,2.87,3.13,2.75
173836,emobank,3.0,3.12,3.0
173837,emobank,3.0,3.0,3.0
173838,emobank,2.83,2.83,2.66
173839,emobank,3.12,3.25,3.38
173840,emobank,2.75,3.0,3.12
173841,emobank,3.1,3.2,3.1
173842,emobank,2.7,3.2,3.0
173843,emobank,2.89,3.22,2.89
173844,emobank,3.0,3.12,2.88
173845,emobank,2.9,3.0,3.2
173846,emobank,3.0,3.0,2.71
173847,emobank,3.0,3.1,3.0
173848,emobank,2.9,3.1,2.9
173849,emobank,3.2,3.1,2.7
173850,emobank,3.0,3.1,2.8
173851,emobank,2.86,3.14,3.29
173852,emobank,3.0,2.9,2.9
173853,emobank,2.9,3.1,3.0
173854,emobank,3.11,3.11,3.0
173855,emobank,3.13,3.5,3.25
173856,emobank,3.0,3.22,2.89
173857,emobank,3.2,3.1,3.1
173858,emobank,2.7,3.2,3.1
173859,emobank,3.1,3.1,3.0
173860,emobank,2.82,3.09,2.91
173861,emobank,3.0,3.0,2.62
173862,emobank,3.2,3.0,3.2
173863,emobank,2.75,3.25,3.0
173864,emobank,2.67,3.0,2.89
173865,emobank,2.7,2.9,3.0
173866,emobank,2.8,2.8,3.2
173867,emobank,3.0,2.89,3.11
173868,emobank,2.9,3.2,3.1
173869,emobank,1.86,3.0,3.0
173870,emobank,3.3,3.2,3.2
173871,emobank,2.9,2.9,3.0
173872,emobank,2.9,3.1,2.7
173873,emobank,3.3,3.3,2.8
173874,emobank,2.7,2.9,2.9
173875,emobank,2.9,2.9,3.0
